MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000194,Croydon 001,4.6,5
E02000195,Croydon 002,6.4,5
E02000196,Croydon 003,4.75,4
E02000197,Croydon 004,4.8,5
E02000198,Croydon 005,3.2,5
E02000199,Croydon 006,4.4,5
E02000200,Croydon 007,4.2,5
E02000201,Croydon 008,2.8,5
E02000202,Croydon 009,4.5,6
E02000203,Croydon 010,2.8,5
E02000204,Croydon 011,3.8333333333333335,6
E02000206,Croydon 013,2.6666666666666665,6
E02000207,Croydon 014,3.2,5
E02000208,Croydon 015,2.3333333333333335,6
E02000209,Croydon 016,3.4,5
E02000210,Croydon 017,4.4,5
E02000211,Croydon 018,8.2,5
E02000212,Croydon 019,2.8,5
E02000213,Croydon 020,2.7142857142857144,7
E02000214,Croydon 021,7.25,4
E02000215,Croydon 022,3.5,6
E02000216,Croydon 023,7.5,4
E02000217,Croydon 024,3.2857142857142856,7
E02000218,Croydon 025,5.5,4
E02000219,Croydon 026,8.4,5
E02000221,Croydon 028,3.8,5
E02000222,Croydon 029,6.4,5
E02000223,Croydon 030,1.6,5
E02000224,Croydon 031,5.6,5
E02000225,Croydon 032,2.8,5
E02000226,Croydon 033,9.2,5
E02000227,Croydon 034,6.0,8
E02000228,Croydon 035,10.0,5
E02000229,Croydon 036,2.0,4
E02000230,Croydon 037,7.0,6
E02000231,Croydon 038,9.4,5
E02000232,Croydon 039,8.5,4
E02000233,Croydon 040,7.0,4
E02000234,Croydon 041,6.4,5
E02000235,Croydon 042,8.5,4
E02000236,Croydon 043,9.0,5
E02000237,Croydon 044,8.0,5
E02000238,Ealing 001,4.2,5
E02000239,Ealing 002,5.4,5
E02000240,Ealing 003,2.6666666666666665,6
E02000241,Ealing 004,4.0,4
E02000242,Ealing 005,4.25,4
E02000243,Ealing 006,3.6,5
E02000244,Ealing 007,2.75,4
E02000245,Ealing 008,1.8,5
E02000246,Ealing 009,2.6,5
E02000247,Ealing 010,2.6666666666666665,6
E02000248,Ealing 011,3.5,4
E02000249,Ealing 012,3.5,4
E02000250,Ealing 013,8.25,4
E02000251,Ealing 014,4.4,5
E02000252,Ealing 015,2.8333333333333335,6
E02000253,Ealing 016,2.5,6
E02000254,Ealing 017,3.2,5
E02000255,Ealing 018,4.833333333333333,6
E02000256,Ealing 019,5.833333333333333,6
E02000258,Ealing 021,4.5,4
E02000259,Ealing 022,5.0,4
E02000260,Ealing 023,2.6,5
E02000261,Ealing 024,4.0,6
E02000262,Ealing 025,3.8,5
E02000263,Ealing 026,2.5,6
E02000264,Ealing 027,5.4,5
E02000265,Ealing 028,3.8333333333333335,6
E02000266,Ealing 029,2.2857142857142856,7
E02000267,Ealing 030,4.75,4
E02000268,Ealing 031,5.0,6
E02000269,Ealing 032,6.8,5
E02000270,Ealing 033,3.8,5
E02000271,Ealing 034,7.5,4
E02000272,Ealing 035,7.25,4
E02000275,Ealing 038,3.0,4
E02000276,Ealing 039,6.5,4
E02000277,Enfield 001,2.5,4
E02000278,Enfield 002,1.4,5
E02000279,Enfield 003,2.0,6
E02000280,Enfield 004,4.8,5
E02000281,Enfield 005,3.6,5
E02000282,Enfield 006,1.4,5
E02000283,Enfield 007,2.2,5
E02000284,Enfield 008,5.6,5
E02000285,Enfield 009,8.0,4
E02000286,Enfield 010,6.2,5
E02000287,Enfield 011,7.25,4
E02000288,Enfield 012,2.1666666666666665,6
E02000289,Enfield 013,8.75,4
E02000290,Enfield 014,1.3333333333333333,3
E02000291,Enfield 015,3.8,5
E02000292,Enfield 016,4.166666666666667,6
E02000293,Enfield 017,8.75,4
E02000294,Enfield 018,2.0,5
E02000295,Enfield 019,6.2,5
E02000296,Enfield 020,4.666666666666667,6
E02000297,Enfield 021,7.333333333333333,6
E02000298,Enfield 022,8.6,5
E02000299,Enfield 023,1.4,5
E02000300,Enfield 024,1.6,5
E02000301,Enfield 025,1.1666666666666667,6
E02000302,Enfield 026,5.0,5
E02000303,Enfield 027,1.6,5
E02000304,Enfield 028,8.6,5
E02000305,Enfield 029,5.2,5
E02000306,Enfield 030,1.0,5
E02000307,Enfield 031,2.8333333333333335,6
E02000308,Enfield 032,4.2,5
E02000309,Enfield 033,1.5,6
E02000311,Enfield 035,3.1666666666666665,6
E02000312,Enfield 036,4.166666666666667,6
E02000313,Greenwich 001,2.25,4
E02000314,Greenwich 002,3.5714285714285716,7
E02000315,Greenwich 003,2.6,5
E02000317,Greenwich 005,3.0,4
E02000318,Greenwich 006,2.8,5
E02000319,Greenwich 007,3.5,6
E02000320,Greenwich 008,4.25,4
E02000321,Greenwich 009,2.5,4
E02000323,Greenwich 011,2.8333333333333335,6
E02000324,Greenwich 012,3.25,4
E02000326,Greenwich 014,5.75,4
