Variable,VIF
retailers___other,7.19
IMD,6.32
Black,5.65
Population_density,4.46
Other,4.41
takeaway_sandwich_shop,4.27
Asian,3.6
pub_bar_nightclub,2.38
supermarkets_hypermarkets,1.94
other_catering_premises,1.89
hotel_bed_and_breakfast_guest_house,1.27
