"Intercept","IMD","Asian","Other","retailers___other","takeaway_sandwich_shop","pub_bar_nightclub","supermarkets_hypermarkets","hotel_bed_and_breakfast_guest_house","other_catering_premises","log_pop_density","alpha","MSOA21CD","MSOA21NM","x","y"
-3.4083093933927,0.0310262885819684,0.00541453858640674,0.0249905895023684,0.0075370226331722,0.00171825770786808,0.0122829128705217,-0.0236455777791129,0.0263062323267754,-0.0210283015162812,-0.0705038690769248,0.16300420929765,"E02000001","City of London 001",532485.482159412,181271.782114895
-6.46561497216294,0.0107934275773697,0.0139264932593011,0.0352178966524636,0.00322849714045987,-0.00793990359109392,-0.0037520281940521,-0.0264476428615197,-0.0780276938400201,-0.00979416915004339,0.380261868640194,0.0214211875039179,"E02000002","Barking and Dagenham 001",548312.757365699,189881.428040392
-6.29972774556696,0.0105176499939981,0.0146719293387511,0.0224903446069858,0.00408587401531275,-0.0074181415613016,-0.00348807432548586,-0.0248346120871236,-0.0691012505985176,-0.0108407719371857,0.360342395244537,0.0307725084531559,"E02000003","Barking and Dagenham 002",548454.861131233,188400.031730149
-6.0491357569627,0.0113070794134621,0.0171384421447224,-0.00775008735311533,0.00451011811126784,-0.00605372890610317,-0.00361816880815681,-0.018036809536651,-0.0616145871403982,-0.0107237668134905,0.324058192607059,0.0540847009805964,"E02000004","Barking and Dagenham 003",551009.063352634,186311.121270225
-6.105258590459,0.0104082310121684,0.0155958781259219,0.00896273167527875,0.00491769368895476,-0.00670014362981822,-0.0037218249982909,-0.0227522997442671,-0.0604692760934969,-0.011531964575024,0.335529693796483,0.043007932682403,"E02000005","Barking and Dagenham 004",548667.16108568,186903.342288399
-6.06115988529151,0.010762312851555,0.0162026662355463,0.0034692996331445,0.00490918983855908,-0.00633748183345596,-0.00395051771614807,-0.0205952083802572,-0.0595887058225475,-0.0114566505376829,0.327138898424207,0.0507740464919431,"E02000007","Barking and Dagenham 006",549648.573008712,186561.042714971
-5.98241413801655,0.010166579249485,0.0160318804314521,-0.00043803502308796,0.00557721472936241,-0.0063160374108746,-0.00398255819069676,-0.0225100488128141,-0.0539260736141722,-0.0119042791184404,0.321851260725872,0.0481333166371933,"E02000008","Barking and Dagenham 007",548139.334746794,185911.229533402
-5.906951599186,0.00959392950370854,0.0154564530550406,0.0026959277172118,0.00611335226628397,-0.00637223382108535,-0.0044719941998297,-0.0248139976595617,-0.0506415222133257,-0.0128967168097181,0.316904993254888,0.0446764510792851,"E02000009","Barking and Dagenham 008",546965.824618885,185757.98630461
-5.91090002777663,0.01066161504872,0.0167978042657097,-0.00702365394340212,0.00570631386594034,-0.00573875140788165,-0.0047060048172663,-0.0199433427826872,-0.0514536770578677,-0.0118606880167928,0.308509769331396,0.0608899485745001,"E02000010","Barking and Dagenham 009",549065.285181043,185295.970622999
-5.89811394406484,0.011377763380439,0.0173758176301819,-0.00978407054552349,0.00533575231560564,-0.00538294193102755,-0.00515785545710292,-0.0175888069162016,-0.0535080568692258,-0.0117594721733945,0.30265433634747,0.0695101460407062,"E02000011","Barking and Dagenham 010",550510.098585464,185162.620415733
-5.67386872154326,0.00862326153426583,0.0149768515004108,0.00249474261129895,0.00781257594877727,-0.00547946264053616,-0.00620414100878803,-0.0260404859068941,-0.0399724019631915,-0.0150413691754002,0.290682568253997,0.0514791520174816,"E02000012","Barking and Dagenham 011",545635.991434474,184893.272213094
-5.79701845743818,0.00963349728798205,0.0162459288536603,-0.00860500621465433,0.00666560786797134,-0.00576649451715271,-0.00480572313677262,-0.0229635065655975,-0.0444917739767399,-0.0128181250767432,0.301497576295236,0.0562226026792883,"E02000013","Barking and Dagenham 012",547276.79004358,184855.720505038
-5.80572457550107,0.010645791734515,0.0170851913578259,-0.0113921757225566,0.0063140616066626,-0.00523303920373862,-0.0056149762987718,-0.0195228497244593,-0.045707841149734,-0.0122892154571101,0.294201234131678,0.071143918445964,"E02000014","Barking and Dagenham 013",548785.518842575,184554.79661471
-5.78383095367904,0.0114511827371036,0.0176913268393435,-0.0141907625371398,0.00599513010554951,-0.0047435262917529,-0.00632335405811611,-0.0171843779459066,-0.0468373077492649,-0.0122489546503071,0.286477977375006,0.0830550170906193,"E02000015","Barking and Dagenham 014",550075.829439684,184230.971845327
-5.33709637614288,0.00760070453232681,0.0137881388632079,0.0204314241970854,0.010775252007199,-0.00271949564132745,-0.0108721815001326,-0.0267141676352266,-0.0289461962179749,-0.0182388581804015,0.239597708195507,0.0653057272148276,"E02000016","Barking and Dagenham 015",544029.12812224,184317.709782175
-5.51560648448001,0.00805006195997107,0.0144771803938217,0.0078250730407082,0.00929535498981586,-0.00430102650583594,-0.00809053985792168,-0.0262526352147054,-0.0331635036540466,-0.0166337102310208,0.267997578226851,0.0586852446646565,"E02000017","Barking and Dagenham 016",544838.696322134,184459.569538096
-5.64948908300523,0.0091701681818314,0.0160434687396938,-0.00791745627328344,0.00776799826122954,-0.00514744526111202,-0.00589447819323322,-0.023641466863469,-0.0372176340333439,-0.0139815284562222,0.282811510883331,0.0643985664817728,"E02000018","Barking and Dagenham 017",546553.200750159,184299.136225403
-5.61595241946319,0.0105103670064435,0.0175039073167743,-0.0197677221428586,0.00755436560548976,-0.00419646498253332,-0.00778106792389771,-0.019278240518675,-0.0340128454613769,-0.0129072324126342,0.268940747834539,0.0940479485750905,"E02000019","Barking and Dagenham 018",548166.974134814,183259.43802596
-5.44068915654151,0.00921297375392811,0.0165669094351364,-0.0143937845230391,0.0102136512416009,-0.00299420092702699,-0.00840710922657086,-0.0224806397195441,-0.0202714983858979,-0.014606721910185,0.244894798347891,0.0980134806497715,"E02000020","Barking and Dagenham 019",546100.176911004,182743.676315861
