"Intercept","IMD","Asian","Other","retailers___other","takeaway_sandwich_shop","pub_bar_nightclub","supermarkets_hypermarkets","hotel_bed_and_breakfast_guest_house","other_catering_premises","log_pop_density","alpha","MSOA21CD","MSOA21NM","x","y"
-2.70613984290538,0.0368429109806128,0.00777192268983552,0.02692794779776,0.00569986017032043,-0.00684563419393728,0.0113394956269619,0.00189174039630886,0.0312523529826949,-0.0218545797883645,-0.161751859145424,0.134764904007991,"E02000001","City of London 001",532485.482159412,181271.782114895
-5.77179627716788,0.0118101858734852,0.0229821680152794,-0.0418327372694697,0.00198623759037657,-0.00573658884317097,0.00498621903579911,-0.0151315268415116,-0.0949726097370765,-0.0117655496693685,0.280399536058515,0.00375586329228953,"E02000002","Barking and Dagenham 001",548312.757365699,189881.428040392
-5.51225872353259,0.0119203038048962,0.0241427843816838,-0.0560151697971236,0.00217480621300896,-0.0061354937073926,0.0018137586986675,-0.0127218002413413,-0.0929297167315133,-0.0132847651884563,0.254446489800732,0.013437382410053,"E02000003","Barking and Dagenham 002",548454.861131233,188400.031730149
-5.32676179174627,0.0140136929553467,0.0241753741994714,-0.0683427570342481,-0.000911297680823477,-0.00568468946797544,-0.000346490759650432,-0.0057523769600531,-0.109008129853975,-0.0108053871321843,0.243435002548572,0.0567883531530098,"E02000004","Barking and Dagenham 003",551009.063352634,186311.121270225
-5.33837364638755,0.0120884484027777,0.0238238311526079,-0.0635082448452429,0.00189457315792561,-0.00697161002871353,-0.0016238874587227,-0.0125549747198698,-0.0903671615430047,-0.0129864870039424,0.24596374904289,0.027128035526695,"E02000005","Barking and Dagenham 004",548667.16108568,186903.342288399
-5.25509802727856,0.0130291717841244,0.0243968786014895,-0.068204561676251,0.000561719090983299,-0.00648398047308873,-0.00139485371291234,-0.00874755826036778,-0.0985223167212209,-0.0123231816090719,0.235641693637703,0.0419292720613062,"E02000007","Barking and Dagenham 006",549648.573008712,186561.042714971
-5.21638018519663,0.0112976753803074,0.0229189683740802,-0.0688239561344149,0.00183161436337347,-0.00839734021783265,-0.00498624778104771,-0.0154111117716945,-0.08402346703096,-0.0129245046714612,0.249862959002649,0.0335395057034496,"E02000008","Barking and Dagenham 007",548139.334746794,185911.229533402
-5.71371696225577,0.00893545867487867,0.0192929743363759,-0.062462457769523,0.00267468057819747,-0.00950149840678623,-0.00448084036070871,-0.024903706438543,-0.0709981011685894,-0.0120054428178353,0.331485577593933,0.0116748085145195,"E02000009","Barking and Dagenham 008",546965.824618885,185757.98630461
-5.00067000067718,0.0122406525189525,0.0236445869598071,-0.0769822688770941,0.000247325972591973,-0.00787903618403967,-0.00433342113007867,-0.0116027545052488,-0.0913344238010802,-0.0110007620343401,0.226520058382423,0.0615635863887159,"E02000010","Barking and Dagenham 009",549065.285181043,185295.970622999
-5.07499534117175,0.0140478505761247,0.023882278723153,-0.0757669468507103,-0.00150337516345486,-0.00597442448322705,-0.0024170841439961,-0.00739409947174124,-0.105810095606455,-0.00922935116038964,0.22586742285149,0.084188945130813,"E02000011","Barking and Dagenham 010",550510.098585464,185162.620415733
-5.81578850079387,0.00503490999459266,0.0149287639394681,-0.0784371590944786,0.00232699241343724,-0.0107127272735752,-0.00409558923700066,-0.0355479010515637,-0.0553420685191385,-0.0137133146615474,0.39992144046613,1e-06,"E02000012","Barking and Dagenham 011",545635.991434474,184893.272213094
-5.45093873795688,0.00813614130107525,0.0195491032001501,-0.0761949646401109,0.00197194136445547,-0.0108997629755649,-0.00535444970428474,-0.02334160204513,-0.0669879885835453,-0.0117956819052141,0.317802991647527,0.0259145735592674,"E02000013","Barking and Dagenham 012",547276.79004358,184855.720505038
-4.94081551333488,0.0109992298744526,0.0226755553277119,-0.0833344880608425,0.000218933626097877,-0.00924008386104395,-0.00422114132770816,-0.0139736086038618,-0.0825531560531197,-0.00919200486774105,0.23682725218471,0.0758703341124419,"E02000014","Barking and Dagenham 013",548785.518842575,184554.79661471
-4.81286948952424,0.0134581150923971,0.0234352542754797,-0.0839385061011533,-0.00209237619225404,-0.00679162265502034,-0.00387745036026401,-0.00917157308575806,-0.100119726835386,-0.00702478621556375,0.211061534907909,0.118603716903312,"E02000015","Barking and Dagenham 014",550075.829439684,184230.971845327
-5.35004359895499,0.00438883409574214,0.0123089511099004,-0.0819119777138462,0.00619041410681427,-0.00553681658869229,-0.00348733576385335,-0.0385728615108885,-0.0457133534706538,-0.0146368065716772,0.345762090950403,1e-06,"E02000016","Barking and Dagenham 015",544029.12812224,184317.709782175
-5.63005834663289,0.00433843090671685,0.0134274615484866,-0.08538282594959,0.00377247356703588,-0.00894915595075996,-0.00331023994310842,-0.0377977152832254,-0.0482832534328766,-0.0145031685587867,0.38713102032071,1e-06,"E02000017","Barking and Dagenham 016",544838.696322134,184459.569538096
-5.59208463794929,0.00507007703182632,0.016990592297115,-0.0867066567635377,0.00178523723630638,-0.0120425448426071,-0.00379582630017873,-0.0304877208157768,-0.0543615744344437,-0.0130277597795547,0.370466184035253,0.0101315934546915,"E02000018","Barking and Dagenham 017",546553.200750159,184299.136225403
-4.82600364019282,0.00747895898196126,0.0208777266187617,-0.100022198480323,0.00049967073889772,-0.0124275932013703,-0.00164203651543984,-0.0200093960698746,-0.0573885663442597,-0.00780816972605001,0.263181703460248,0.0961135714509887,"E02000019","Barking and Dagenham 018",548166.974134814,183259.43802596
-5.0463621744988,0.00234618086434964,0.0167945148792356,-0.114623937632971,0.00296409598165479,-0.0119388628627451,-8.32061246826927e-05,-0.0334131024429763,-0.0351611639307042,-0.014044688309104,0.333841579062951,0.0100930714844198,"E02000020","Barking and Dagenham 019",546100.176911004,182743.676315861
-4.51051772377231,0.0100539781865677,0.0219835490684838,-0.0923729987535406,-0.000713426240618249,-0.00878900300870797,-0.00665992598918401,-0.0147626402914835,-0.0660740971762155,-0.00435809208031528,0.202871677629892,0.168167199595532,"E02000021","Barking and Dagenham 020",549508.872913767,182827.304374099
-5.2916922029502,0.00271424101980006,0.0134219166756501,-0.0937081263133289,0.00675971276909128,-0.00565714029210306,-0.00224826040394972,-0.0379014047566752,-0.0364156409982761,-0.0147840795819835,0.341540925268945,1e-06,"E02000022","Barking and Dagenham 021",544383.616418689,183516.977756292
-5.16528592783683,0.00367371396929509,0.0175406835236135,-0.107307793963653,0.00165967723672177,-0.0133699524028577,-0.000337885066502461,-0.0299702372563587,-0.0419000475358843,-0.0133762262436637,0.3403386099476,0.0258223146098102,"E02000023","Barking and Dagenham 022",546653.096514847,183107.949224584
-5.68218290155626,-0.0165346897195269,-0.0110893381102333,0.0927901287600275,0.0186912103879512,0.00462010981715414,-0.0186337094454011,0.0202598421366951,-0.0420623142795195,-0.00267565619558906,0.242183991631593,1e-06,"E02000024","Barnet 001",524413.977712282,197000.436580728
-5.38336257133241,-0.0212109326796641,-0.0107629967948839,0.109642653711088,0.0210567085589794,0.00886317648005152,-0.0131620426217407,0.0384275305777248,-0.0398514029852146,0.00118391609739629,0.166808918146865,1e-06,"E02000025","Barnet 002",525971.331840814,196718.51263964
-5.14083872124948,-0.0233318170152392,-0.00395373329355336,0.119152401342085,0.0234254659109168,0.0126364018121869,-0.00619529851968155,0.05544517935129,-0.0415922001432274,0.00359933344434603,0.0913354062366634,1e-06,"E02000026","Barnet 003",527682.865006507,195951.661985406
-6.03613253469879,-0.0206380031693538,-0.00589806422213492,0.0946309254886246,0.0192286677172976,0.00414027502401119,-0.0197287000314131,0.0145005734169999,-0.0383796113315562,0.00119127817343367,0.274592286047364,1e-06,"E02000027","Barnet 004",524409.58922393,195592.623361259
-5.61767022530573,-0.0248546085212977,-0.0069977236031528,0.113378980176142,0.0218756211991271,0.0094572383914642,-0.0132607662383239,0.0361768559651168,-0.0423452285128595,0.00381460949367138,0.18348719939181,1e-06,"E02000028","Barnet 005",526170.600804112,195510.353812209
-5.37534470505383,-0.0251691256662246,-0.00388171706758446,0.120210021060321,0.0234636802273237,0.0119495208370864,-0.00782563961039927,0.0506720169567385,-0.0432193812580796,0.00450541186356583,0.122929416807956,1e-06,"E02000029","Barnet 006",527246.244546428,195339.879317234
-6.66790524224669,-0.00953559600400439,-0.00193190066784203,0.0739227745731538,0.0157561891020272,-0.00101811861888221,-0.025653213994347,0.000648972095610957,-0.0330939488252533,-0.000365822340110334,0.366069850146917,1e-06,"E02000030","Barnet 007",522736.368379066,194775.787742494
-5.99277803500687,-0.0294191576211218,-0.00110706599145484,0.116307441866583,0.0220520385287368,0.00995222848081915,-0.0127797501639791,0.0335979461520767,-0.0417429163311149,0.00693664470926033,0.215836440937642,1e-06,"E02000031","Barnet 008",526484.698894305,194241.685430412
-5.1518563713252,-0.0253185176151034,0.00435145540207769,0.127614477747418,0.0245579169067512,0.0126394101124918,0.0023900832048141,0.0512960821047011,-0.0470197508385012,0.00390752584921936,0.062543271380562,0.000873970959417026,"E02000032","Barnet 009",528839.404421925,194154.61157734
-5.6213364195686,-0.0267610901265484,0.00664319322635977,0.123418355956223,0.0228904774295701,0.0111135872209064,0.000444349452771819,0.0483086730929215,-0.0437975750868081,0.00567402629989282,0.126035891253997,0.00175180534970637,"E02000033","Barnet 010",528235.725276371,193569.210417472
-6.29885466266418,-0.0307395333810019,0.00745703296505501,0.114658388121508,0.021179037253306,0.0099034025145719,-0.00896917447792058,0.0350143881144702,-0.0364406605968504,0.00811303066974385,0.23541145881366,1e-06,"E02000034","Barnet 011",527072.168712592,193128.373234449
