MSOA21NM,restaurant_cafe_canteen,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,other_catering_premises,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house
Barnet 008,46.15,21.15,11.54,5.77,9.62,3.85,1.92
Barnet 006,31.15,26.23,18.03,9.84,8.2,6.56,0.0
Barnet 005,23.33,16.67,33.33,10.0,13.33,3.33,0.0
Barnet 003,33.33,33.33,0.0,33.33,0.0,0.0,0.0
Barnet 002,33.33,27.78,27.78,5.56,0.0,0.0,5.56
Enfield 011,45.16,24.19,6.45,8.06,12.9,1.61,1.61
