MSOA21NM,restaurant_count,low_rating_count,low_rating_pct
Barnet 008,52,3,5.77
Barnet 006,61,6,9.84
Barnet 005,30,1,3.33
Barnet 003,3,0,0.0
Barnet 002,18,1,5.56
Enfield 011,62,3,4.84
