MSOA21CD,MSOA21NM,IMD,IMD_se,t,sig
E02000031,Barnet 008,-0.0195581276811529,0.0092252573616917,-2.12006309573204,True
E02000029,Barnet 006,-0.0192423253797696,0.008606428850097,-2.2358083375722932,True
E02000028,Barnet 005,-0.0191241028374653,0.0087322929400535,-2.1900436653638113,True
E02000026,Barnet 003,-0.0182008861782176,0.0085279224262759,-2.134269669496259,True
E02000025,Barnet 002,-0.017944504558808,0.0084006290337123,-2.1360905816451927,True
E02000287,Enfield 011,-0.0166597161081796,0.0084341862376897,-1.9752606402894708,True
