MSOA21NM,IMD,local_imd_var,percentile_in_city
Barnet 008,10.4642,142.1814,99.8
Barnet 006,20.4312,137.88,97.9
Barnet 005,16.4816,138.3316,98.2
Barnet 003,11.7596,136.6208,97.1
Barnet 002,18.4963,135.4353,96.2
Enfield 011,12.4533,136.6929,97.2
