MSOA21CD,Intercept,IMD,Asian,Black,Other,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,other_catering_premises,log_pop_density,local_R2,y_pred
E02000001,6.427677031963968,-0.6474670032843903,0.038186727494660025,-0.03745107127590312,0.2615960137202288,0.10732824219506051,0.02427227832170578,0.1690396286934178,-0.1433009564280033,0.27679410615430167,-0.03701015357729358,-0.39603644608766136,0.2758607992844583,3.3205090225755765
E02000002,-5.8741635340212675,-0.34596886878267635,0.2593242388032313,0.13716189180090294,-0.82527004177599,-0.05822129720292555,-0.13060485657859058,-0.09386972906529426,-0.20990630702289556,-0.45926257378147517,-0.24011438447558772,1.9516952201809943,0.5046898894054452,6.428426630146102
E02000003,-6.158831642636212,-0.23285200883264162,0.28969330329259557,0.16373082932093652,-1.1524596729426815,-0.04516182212823893,-0.13632614007157048,-0.08590174472197709,-0.19244338166833921,-0.40945395345612584,-0.24731842777526183,1.8607460779532488,0.4990603477505013,9.918936120472221
E02000004,-8.321111817177268,0.03777288507130777,0.3151715753963624,0.1935826760912154,-1.451337115474685,-0.01997292636494103,-0.11944161677689902,-0.048576458243259256,-0.14863672767504288,-0.2899922222130959,-0.22324581959830161,1.7465682951584005,0.46294650499186124,3.8639527793319637
E02000005,-8.345950416774587,-0.1333335256150618,0.29803360132358914,0.1728439170941651,-1.3006058315899072,-0.02395476709128875,-0.13754054619661812,-0.07771753816544735,-0.18511733451235893,-0.31203832459653097,-0.23722344481314023,1.986500977171619,0.49823764242867763,10.18017864375425
E02000007,-8.432644773690921,-0.04154006085737749,0.30731542568545134,0.18330278503030412,-1.3876614236787896,-0.02049078753325671,-0.12916525736476642,-0.0644886247139917,-0.16849631539807822,-0.29374091246072404,-0.230069793472908,1.8762878776825769,0.4841785925130471,4.246120114832966
E02000008,-10.277831099071623,-0.10394463590234998,0.2955786601315179,0.16949222014100263,-1.331175075019574,-0.004696571557548171,-0.14416343134327533,-0.0793344167568508,-0.18881151266635973,-0.25191991968982946,-0.23385786127996794,2.164926328187913,0.5017480288686068,5.798570442020441
E02000009,-12.482892058286936,-0.23834244769225577,0.27599679413491685,0.14750894513829324,-1.206907145156094,0.008280751170425298,-0.15697255096635054,-0.08911702313950325,-0.2039290791920078,-0.22745516249261927,-0.23139415977125588,2.53507334763796,0.5178465054281577,10.512960019860301
E02000010,-10.419541860472242,0.01866770708023202,0.30354463107798746,0.17967125442685575,-1.3951096465433583,0.0022420025062928964,-0.13424455202226618,-0.06648753267307217,-0.1743877849255124,-0.21933847920247335,-0.22399618955273287,2.025533516523719,0.4874133032589407,4.535933173848221
E02000011,-9.579625962746272,0.0874768548771136,0.3109283562668732,0.19027439296652612,-1.4268819281553469,-0.003175363792556507,-0.1217433279690921,-0.051891144787629004,-0.15578162938007423,-0.2257368326345975,-0.21742108503132598,1.8236037226112285,0.46693460562862665,5.806414735459711
E02000012,-17.815225208872228,-0.4029047481992662,0.24560970182048075,0.11237040550852974,-1.0329940485662719,0.055716124342359716,-0.1622895332005121,-0.07971418798310578,-0.20376810900889925,-0.12764408716343525,-0.20174026765911074,3.1136635474011345,0.5360541989364421,18.18544308630117
E02000013,-13.879042262583928,-0.10529622442621034,0.2791228101138737,0.14885047702377358,-1.2842685987479292,0.029739311515933183,-0.1554433293604119,-0.08217775245562915,-0.19419794380072156,-0.16489809299270258,-0.21789172747263183,2.5460481636328365,0.5116158059929569,8.26954841726781
E02000014,-11.775874407190859,0.07803570089079948,0.30001047346341525,0.1764526031342377,-1.3814375298238613,0.019637642463340304,-0.1390564665378252,-0.06692537663903675,-0.1761494781750712,-0.173037160151951,-0.21778151098310272,2.107456928592203,0.486485833884606,7.26403376936884
E02000015,-10.70356037168054,0.14354518825379453,0.30602820359463384,0.18557100245908342,-1.385021075122802,0.014857180593496253,-0.12488411747900093,-0.05528247193329776,-0.16058928855258225,-0.169456707557169,-0.2096064019670132,1.8735071513462054,0.4687372924603363,9.97065534383466
E02000016,-21.720578235018213,-0.6151127119945353,0.21586262402368514,0.09069167223418781,-0.6686842511500759,0.11274039513373953,-0.1310122429904989,-0.05243547706922243,-0.20769852463747268,-0.028353038063152203,-0.1602127052872012,3.2790962440659,0.563726762577989,16.761593684042612
E02000017,-20.40519819885162,-0.5216850999705631,0.23064091463942665,0.09813191244957442,-0.8828014999091861,0.08832766105285292,-0.15396845208733778,-0.06425226359994057,-0.20280134621895346,-0.06721353786114614,-0.1781103976666562,3.291006221600967,0.5490402849525169,15.86493097220611
E02000018,-16.517067301447952,-0.16678758792551907,0.26248170389607506,0.12504571856924906,-1.2247507808565896,0.05832357778682993,-0.1635642528888154,-0.07904684657101951,-0.1940837468962774,-0.10794482446236774,-0.20054940346678043,2.8514028374795326,0.5214724210712666,8.113690810054482
E02000019,-13.613607979427597,0.14028197118380176,0.2857959799727337,0.15268019137195246,-1.286485973151689,0.060220322390777736,-0.14609779794514527,-0.06758019936427537,-0.17685883172997732,-0.07053407047013598,-0.18965623786181218,2.195376583971925,0.4960074302550438,7.247661622346609
E02000020,-16.446574240300016,-0.09620636310521913,0.2546986335880304,0.09730024639268856,-1.1532457909886806,0.11490117241580244,-0.15230992715382663,-0.05120196576996008,-0.17636064830199855,0.019145729501369946,-0.1497607923269692,2.566084239999769,0.5360513217338515,9.16849697967153
E02000021,-11.80198637977657,0.24747686037761543,0.2974235856230705,0.17237708041562352,-1.2749359303211258,0.05031212674530252,-0.12989465920071175,-0.05961059949774483,-0.1613558328936911,-0.07521858660644933,-0.18514466475270844,1.8262012900518256,0.4696811354807919,7.760395597489804
E02000022,-20.89365950683203,-0.4569892935391272,0.2260813856734136,0.09043741746273998,-0.7783626888097015,0.13373931395340993,-0.12675650470616032,-0.04866901578306851,-0.19218223547904711,0.026625580618746786,-0.1435799229263723,3.0136623591393876,0.5658520217593043,10.653817590456633
E02000023,-16.024809939438434,-0.04392960271109292,0.26156071747147913,0.11206374250439911,-1.2143846840994885,0.09220135424374243,-0.15790662024029156,-0.06301317486876827,-0.18145752961738115,-0.022823789396718447,-0.16982151434009754,2.5903098079533775,0.5232079536357515,8.271086579797494
E02000024,-5.8613008155902175,-0.10267946022696803,-0.0176756529988876,0.02665566267343686,0.5181282725693551,0.022928957753497792,-0.04626410588291677,-0.07713082913206253,0.07038557052506593,0.021065134777774063,-0.08347135030971553,0.9989840660978438,0.3369042239397644,1.8567582041768427
