BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
7840,1748778,Retailers - supermarkets/hypermarkets,10.0,51.386004,24/00458/COMM,507,Croydon,-0.0401579,3
1,1401805,Restaurant/Cafe/Canteen,0.0,51.3745305,21/00548/COMM,507,Croydon,-0.0963702,5
7844,1862153,Takeaway/sandwich shop,5.0,51.41059113,25/00658/COMM,507,Croydon,-0.094766997,5
4613,4851,Retailers - other,10.0,51.33327866,01352/0102/0/200,507,Croydon,-0.098921001,3
7844,1568522,Takeaway/sandwich shop,10.0,51.3761611,22/00903/COMM,507,Croydon,-0.0926816,4
7841,1407480,Other catering premises,0.0,51.37968063,21/00594/COMM,507,Croydon,-0.104574002,5
1,7020,Restaurant/Cafe/Canteen,5.0,51.39327621,02671/0731/0/200,507,Croydon,-0.114445999,5
7841,712724,Other catering premises,0.0,51.3776741,07/00112/COMM,507,Croydon,-0.02706,5
7841,4271,Other catering premises,10.0,51.38225174,01018/0187/0/200,507,Croydon,-0.108920999,3
7842,1616524,Hotel/bed & breakfast/guest house,0.0,51.3822488,23/00263/COMM,507,Croydon,-0.0860335,4
4613,1551465,Retailers - other,0.0,51.3926709,22/00551/COMM,507,Croydon,-0.0684929,4
4613,5648,Retailers - other,10.0,51.40864563,01993/0135/0/200,507,Croydon,-0.130867004,3
