BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
4613,1691255,Retailers - other,0.0,51.3850204,24/00023/COMM,507,Croydon,-0.097746,4
7843,1905503,Pub/bar/nightclub,0.0,51.397487,26/00010/COMM,507,Croydon,-0.0666223,5
7843,990454,Pub/bar/nightclub,0.0,51.39998627,17/00290/COMM,507,Croydon,-0.074217997,5
7843,1823458,Pub/bar/nightclub,0.0,51.3697845,25/00360/COMM,507,Croydon,-0.0306928,5
1,1271020,Restaurant/Cafe/Canteen,0.0,51.30706973,20/00325/COMM,507,Croydon,-0.11993837,5
7843,6272,Pub/bar/nightclub,0.0,51.3787533,02071/0016/0/200,507,Croydon,-0.0950312,5
1,5522,Restaurant/Cafe/Canteen,5.0,51.36276627,01921/0000/2/200,507,Croydon,-0.096724004,5
1,918549,Restaurant/Cafe/Canteen,0.0,51.3746376,16/00527/COMM,507,Croydon,-0.095124997,4
7843,1635082,Pub/bar/nightclub,5.0,51.3795145,23/00396/COMM,507,Croydon,-0.0860038,5
7843,4674,Pub/bar/nightclub,0.0,51.36965942,01277/0039/0/201,507,Croydon,-0.101020999,5
7844,1716566,Takeaway/sandwich shop,0.0,51.3761659,24/00207/COMM,507,Croydon,-0.0924227,5
7843,1039609,Pub/bar/nightclub,10.0,51.39736557,18/00125/COMM,507,Croydon,-0.075579002,2
1,1200197,Restaurant/Cafe/Canteen,10.0,51.4188652,19/00484/COMM,507,Croydon,-0.093579002,2
1,1768207,Restaurant/Cafe/Canteen,10.0,51.33820343,24/00591/COMM,507,Croydon,-0.115372002,4
7843,1261261,Pub/bar/nightclub,0.0,51.39622498,20/00277/COMM,507,Croydon,-0.08602,4
7843,1829812,Pub/bar/nightclub,10.0,51.3980929,25/00410/COMM,507,Croydon,-0.0777383,4
7843,1660034,Pub/bar/nightclub,5.0,51.4197361,23/00582/COMM,507,Croydon,-0.1063146,4
4613,1107980,Retailers - other,0.0,51.37380219,19/00076/COMM,507,Croydon,-0.119714998,5
7840,1029389,Retailers - supermarkets/hypermarkets,0.0,51.36574936,18/00046/COMM,507,Croydon,-0.099285997,5
7840,4812,Retailers - supermarkets/hypermarkets,5.0,51.38077927,01351/0061/0/200,507,Croydon,-0.087943003,5
7840,906984,Retailers - supermarkets/hypermarkets,0.0,51.37721252,16/00484/COMM,507,Croydon,-0.097043999,5
1,1036490,Restaurant/Cafe/Canteen,5.0,51.31957626,18/00109/COMM,507,Croydon,-0.139513001,5
4613,1055763,Retailers - other,0.0,51.3978614,18/00303/COMM,507,Croydon,-0.0773311,5
7843,1813438,Pub/bar/nightclub,0.0,51.37525177,25/00333/COMM,507,Croydon,-0.08382,5
7843,2035,Pub/bar/nightclub,0.0,51.36233139,00596/0001/0/200,507,Croydon,-0.094989002,5
7843,6564,Pub/bar/nightclub,0.0,51.3736365,02295/0028/0/200,507,Croydon,-0.0540344,5
7842,1292415,Hotel/bed & breakfast/guest house,0.0,51.3235515,20/00531/COMM,507,Croydon,-0.1350949,4
