"","result$global_measures"
"deviance",1115.43068744521
"full_Log_likelihood",-5079.88223932086
"pctdevg",0.622947278321237
"adjpctdevg",0.619142508173116
"AIC",10183.7644786417
"AICc",10184.0799488136
