"Intercept","IMD","Asian","Other","retailers___other","takeaway_sandwich_shop","pub_bar_nightclub","supermarkets_hypermarkets","hotel_bed_and_breakfast_guest_house","other_catering_premises","log_pop_density","alpha","MSOA21CD"
1.47517844091498,0.011921172463645,0.00603430287248006,0.0280313441663589,0.00777615645048177,0.00798281250339974,0.0165353027671908,0.0312185256032349,0.0225750033232259,0.0112398527842227,0.156269000371116,0.0713814453196111,"E02000001"
1.23049374883942,0.0077441035010761,0.00295310102608011,0.0382182534724579,0.00504195666590602,0.00587758664093052,0.0153216013519563,0.017820934117841,0.0324819434177501,0.0118703043362739,0.130863323418438,0.0332606285987256,"E02000002"
1.25723944557097,0.00793210147452465,0.00320259432865315,0.0415710122427205,0.00524466851135824,0.00603323811284304,0.0154858379918821,0.0180478224613312,0.0322558880336494,0.0120771086728393,0.133136882644874,0.0348555530922834,"E02000003"
1.3550055872401,0.00867001245666391,0.00385018507557865,0.0489471744672708,0.00626652228214428,0.00709624305606511,0.0169082551258304,0.018671663322785,0.0347857870672313,0.0131885341516605,0.142042671207771,0.0611816721085895,"E02000004"
1.23655321202014,0.00791290532595693,0.00326228786779354,0.0423946253101413,0.00533780936275087,0.0061697189959703,0.0154448209189266,0.017829204659075,0.031247117817543,0.0118111026048558,0.130464532668716,0.0407843666353585,"E02000005"
1.27844937763441,0.00819234603811136,0.00350003135329637,0.0449807462407384,0.0057119078028121,0.00654671550708038,0.0159731658387815,0.0180992818567787,0.0324705648969851,0.0123357605673468,0.134462967492524,0.0495310897124363,"E02000007"
1.23069938433054,0.00788482973892768,0.00326377240296939,0.0428427651979079,0.00532631010489918,0.00618754899823447,0.0154719013890985,0.0178808312766421,0.030332746321289,0.011603208481048,0.129717791675879,0.0432247694109588,"E02000008"
1.17804520615566,0.00761118868546061,0.00298797766721445,0.0407333121482427,0.00494615164033935,0.00581839097704389,0.0150335552576636,0.0176360334392001,0.028599686897753,0.0107637315782132,0.12437856873396,0.0352150389913162,"E02000009"
1.28223375472601,0.0081690806020485,0.0035494152663031,0.0459485011318363,0.00576662136165742,0.0066599334854661,0.0160532058844562,0.0182153027722988,0.0316368720751543,0.0122401930204983,0.134691601069848,0.0563319147212465,"E02000010"
1.35278278009667,0.00861895247466572,0.00387872155156678,0.0495993582273462,0.00631782742656887,0.00722108348604122,0.0169023413739487,0.0187036380365474,0.034122887326172,0.0131505487588135,0.141634750561604,0.0688402396525369,"E02000011"
1.13451052458969,0.00747090507213245,0.00280189635230868,0.0404802095201956,0.00472188901915166,0.00566965758359339,0.0149765181048064,0.0172118877568908,0.0264675467539629,0.0098410913316358,0.119579679172587,0.0330312181145106,"E02000012"
1.20526237666909,0.00774145097270881,0.00314915759470558,0.0426002454438526,0.00520231727699411,0.00610595119627036,0.0154264477489364,0.0178462948220518,0.0285967049476683,0.011001812300687,0.126965257697228,0.0440308616669633,"E02000013"
1.31074519179603,0.00827395653131698,0.0036515198246887,0.0474117415294591,0.00591688687648845,0.00684840417844296,0.0164449777155901,0.0185691955737184,0.0315696650432875,0.0123999294049544,0.137614123767441,0.0630919680187215,"E02000014"
1.37859064411519,0.008693969874446,0.00397788664884198,0.0511988782095764,0.0064504347195903,0.00741985127202346,0.0171755920535075,0.0190221008544454,0.0339194335954634,0.0132998220311634,0.144240774572257,0.0773790430401219,"E02000015"
1.1502566534637,0.00751056995238045,0.00280718806222089,0.0413700597239288,0.00459621365382637,0.00575074262480779,0.0156460904626386,0.0170533683541838,0.0251825795815913,0.00950393723632066,0.121341452226227,0.0352723067812551,"E02000016"
1.13783747703991,0.00752536912240436,0.00278666747041255,0.0412027391477227,0.00465776185889834,0.00569767500892971,0.0152404817626722,0.0170792068386391,0.0256052586000184,0.0096184003052962,0.119871789330795,0.0338548857536637,"E02000017"
1.18562605121108,0.00767603526543254,0.00304182993551399,0.0423970270156494,0.00510685421711517,0.00603079122033675,0.0154679257664253,0.0177251312911721,0.0273092586872996,0.0105479663679102,0.124825730335338,0.0423186343889253,"E02000018"
1.35235968476528,0.0083793817696169,0.00375961709642372,0.0498599075056444,0.00609388729967387,0.00715041023393608,0.0169364337486463,0.0191710854850934,0.0306942832191681,0.0123261669954536,0.141900547379605,0.0742878802452047,"E02000019"
1.2714510373061,0.00804540928104591,0.00333835956560372,0.0466747410341945,0.00554982675056146,0.0066347758721859,0.0165368024788831,0.0185906872486613,0.0269742856954841,0.0109891232800153,0.133621456522346,0.0585502447458911,"E02000020"
1.48234184846059,0.00916075062585117,0.00430165424740189,0.0563955694291003,0.00688362012150849,0.00798682835009941,0.0182822822003968,0.0202132934954421,0.0343509164020052,0.0139635296712784,0.154958445967644,0.0952364515940412,"E02000021"
1.1877648839159,0.00774774054050484,0.00296962623757187,0.0430965753740087,0.00483280715400338,0.00599765595161956,0.0160767047834569,0.0173847869460193,0.0251493443289643,0.00982581110013757,0.125160756535314,0.0421256900362628,"E02000022"
1.26407693652919,0.00797084847207377,0.00334254735384894,0.0461244514837085,0.00556934735988023,0.00660637140800332,0.0162972703398774,0.0185116115059326,0.0276341512011133,0.0111006687337974,0.132862108824751,0.0585261337940148,"E02000023"
1.41318038038379,0.00905371339338077,0.00656050781737065,0.0317267212289224,0.00866816245916201,0.00900195038336608,0.0170388903118326,0.0165660268909904,0.0425697945192028,0.0132331350138876,0.149568808916816,0.0717500508878753,"E02000024"
1.3361429435354,0.0084006290337123,0.00763370210973711,0.0307119468341655,0.00846014156253032,0.00860146755296243,0.016001801470823,0.0177624858519008,0.0420859516316768,0.0125517288538894,0.140704843543852,0.0665887677330606,"E02000025"
1.32317449591012,0.00852792242627597,0.0100489646740433,0.0314335430773172,0.00874511015704822,0.0087703517553271,0.0154789552567383,0.0195764078053681,0.0452118360356427,0.0124595359925778,0.137818737694457,0.064768838894109,"E02000026"
1.45758766406317,0.00981327553334743,0.00656759898074949,0.0321988246681581,0.00875059921861867,0.00927716860110717,0.0173173666860898,0.0159832896684382,0.0408027409765476,0.013582189421013,0.154446386224789,0.0764998273883864,"E02000027"
1.36781045433421,0.00873229294005357,0.00804565548368959,0.0311312070349567,0.0085931798012505,0.0088928892545961,0.0162266428824109,0.0182746226489714,0.0412008887128717,0.0127817065288962,0.144037219996248,0.0710010182561001,"E02000028"
