"","Par. Est.","Std Error","t Value","Pr > |t|"
"Intercept",-4.94713844142883,0.435637503306738,-11.3560894180993,0
"IMD",0.0110065070193571,0.00350179849242707,3.14310119304684,0.00172140709735613
"Asian",0.0163764539826062,0.00162735283236151,10.0632472915181,0
"Other",0.0450001482783936,0.00830632016137768,5.41757931359702,7.58618761143026e-08
"retailers___other",0.0106085079796608,0.00273183126272845,3.88329547450358,0.000109887976312617
"takeaway_sandwich_shop",0.00826241141979559,0.00310711582961148,2.65919002473389,0.0079593341532942
"pub_bar_nightclub",0.0063237235249097,0.00574675557812226,1.10039890142256,0.271425845542043
"supermarkets_hypermarkets",-0.0270857566047657,0.00624715733827134,-4.33569304215101,1.60158312003666e-05
"hotel_bed_and_breakfast_guest_house",-0.021424202558935,0.0101798101466616,-2.10457781140063,0.0355796570535325
"other_catering_premises",-0.0113740015130603,0.00502624015692284,-2.2629244043173,0.0238562827735664
"log_pop_density",0.108522369981457,0.0459408818314,2.36221782550294,0.0183586517584531
"alpha",0.246311147936029,0.0303131222400587,8.12556179417667,1.33226762955019e-15
