Variable,VIF
IMD,10.3043
retailers___other,5.3831
Other,5.3109
Population_density,4.7133
takeaway_sandwich_shop,3.4301
Asian,2.941
other_catering_premises,1.6905
supermarkets_hypermarkets,1.6879
pub_bar_nightclub,1.6241
hotel_bed_and_breakfast_guest_house,1.2169
