"Intercept","IMD","Asian","Black","Other","retailers___other","takeaway_sandwich_shop","pub_bar_nightclub","supermarkets_hypermarkets","hotel_bed_and_breakfast_guest_house","other_catering_premises","log_pop_density","alpha","MSOA21CD"
1.43960939820016,0.0601637262854023,0.00646704530203297,0.00958763245156157,0.0263416380235487,0.00762933731707825,0.00827785508834534,0.01619067125795,0.0311074770350463,0.0216244860611847,0.0115422638939393,0.150575424356964,0.0670791657860901,"E02000001"
1.21592058065549,0.0497854995999962,0.00442692595233845,0.0119885965755609,0.0379842246942089,0.00527738814017754,0.00584271689263332,0.0144092761249728,0.0169893474219225,0.0314154297800715,0.0122557425299965,0.126018897244123,0.000209893388903762,"E02000002"
1.23742311332141,0.0502292087782196,0.00472700528501951,0.0120096646988749,0.0410765561059602,0.00549449517236372,0.00598868732378631,0.0142089485173621,0.0170227243741098,0.0310970909240396,0.0125155309490012,0.127755202769569,0.000170459458391887,"E02000003"
1.26712769018852,0.0509720083845678,0.00508293745863516,0.0119046100436987,0.0438783652786954,0.00607981930645911,0.00634609286079764,0.0154513365029701,0.0168523759729743,0.0315695494372722,0.0129494538938545,0.13009021394318,0.000475757304366569,"E02000004"
1.2021651618129,0.0489804263783365,0.00478849320024595,0.0116933253902888,0.0408793314364516,0.00546491880271076,0.005953090575261,0.0140255458570404,0.016589805678687,0.0296964680280447,0.0122011933214565,0.123712919892597,0.000186730797307194,"E02000005"
1.22162198838192,0.0494681935148324,0.00490885801405924,0.0117379842878614,0.0420010223104724,0.00570043031064507,0.00609889086551955,0.0145095471639883,0.0166140446623938,0.0302329355563659,0.0124670647415226,0.125537358622568,0.000244559308217048,"E02000007"
1.19194708908831,0.0486096315983094,0.00482033719339346,0.0116543843964163,0.040777606017957,0.00541230545206775,0.00590808328006133,0.013986540531304,0.0165588264161072,0.0287171038643259,0.0120121932220427,0.122573115373848,0.00019098877167883,"E02000008"
1.16412489667314,0.0485440874298506,0.00471467423832336,0.0116534608592103,0.0398064512312607,0.00514737948830609,0.00574070915044294,0.0137258258319437,0.0165666043654318,0.0277028531705447,0.0114653517839162,0.119654158753939,0.000158936668533156,"E02000009"
1.20820331815637,0.048722007352549,0.00493129065193618,0.0116767797834753,0.0416352555088337,0.00562605030385172,0.00602711679422362,0.0145495205490119,0.0165372551126297,0.0290182732357712,0.0122493742011274,0.124121027415215,0.000305159044156566,"E02000010"
1.2579017020472,0.0506489314886145,0.00512490774086443,0.0119688735857285,0.0441329717291671,0.00605581031312854,0.00639981935236399,0.0154909255228279,0.0168307400903105,0.0307456982748197,0.0128946274564309,0.128934179164994,0.0586230630836029,"E02000011"
1.13397668623575,0.048745404960978,0.00469146942997676,0.011813451743893,0.0392633798728016,0.00486295047836016,0.00555970175841917,0.0139766774617434,0.0163526529297806,0.0259372179719327,0.0105023998040467,0.116220176756519,0.000164600395389332,"E02000012"
1.16952635734233,0.0482640020520783,0.00482022018528286,0.0116912582046992,0.0402592640701821,0.00524337386835633,0.00578443099999756,0.0140484571707692,0.0165490644839269,0.0272112567372174,0.0115073517776031,0.120117698141709,0.00019932369441558,"E02000013"
1.21679244515941,0.0488663350596962,0.00499478198161036,0.011761309983296,0.0417614225867235,0.0056531202884636,0.00602842411734144,0.0149096995965668,0.0166731599829765,0.0285602554687026,0.012232854083318,0.125052015691521,0.000466829211797021,"E02000014"
1.30013988607458,0.0523622104532486,0.0053585008554881,0.0124839361790215,0.0469081573842033,0.00627250850050958,0.00675489899477336,0.0159317121430342,0.0173431802548442,0.0310149571105094,0.0132788825654361,0.132944970323362,0.0690870699012842,"E02000015"
1.1351880190823,0.0488811866485327,0.00464781124509046,0.0119285220089494,0.0380962598696162,0.00456701137909206,0.00540898886947035,0.0144466905628618,0.0161469642672343,0.0243962515916476,0.00955256731203689,0.11669348481538,0.000243526296381882,"E02000016"
1.13564544966161,0.0492346193960815,0.00474020207951596,0.0120630307934232,0.039106090065574,0.00471798372026775,0.00548575959668319,0.0142791301492368,0.0162612691872391,0.0250497587884345,0.0100088215040922,0.116372346731959,0.000183768644200176,"E02000017"
1.1592915973494,0.0486092627201387,0.00483806383997556,0.0118413509747012,0.0401363799436837,0.00511393320390192,0.00570822803603715,0.014289171656132,0.0165568645661534,0.0262423905257648,0.0110839376524618,0.118894009277536,0.000205995142609938,"E02000018"
1.27610343713032,0.052111164980277,0.00531424367354539,0.0125651084189485,0.0455098992158242,0.00586725049534548,0.00645166808225223,0.0157563788765393,0.0175365922450563,0.0284301981491728,0.0124175949524529,0.130670419830128,0.0667558699141427,"E02000019"
1.21947280795099,0.0520322189423449,0.00514553671033759,0.0125301373522106,0.0428646503160407,0.00524737941804494,0.00597816713031766,0.0156079178992683,0.0172177937797571,0.0255423654560585,0.0109741257411929,0.124789222248382,0.0518486937474782,"E02000020"
1.4310179646566,0.0579627131294976,0.00594440694059606,0.0137224441878708,0.0538437627624525,0.00683022472550994,0.00750651152706908,0.0173344495879788,0.0188535916712914,0.0323492835107046,0.0142519877663795,0.145882719028686,0.0881842280063749,"E02000021"
1.14927330720137,0.0492455097499004,0.00474671515871134,0.0119821269093214,0.0386117994732429,0.00462158133032176,0.00542658022328581,0.0147861636378315,0.0161721312414043,0.0239640103487019,0.00963101454809569,0.118149659037453,0.000673157060618236,"E02000022"
1.19263168315734,0.0499864606643527,0.00500433589818563,0.0121033278321555,0.0414734316332453,0.00522260965373696,0.00583486982587009,0.0151523490114782,0.0169088454756747,0.0257812123594417,0.0110783740814173,0.122254018699353,0.0506198654388082,"E02000023"
1.50695641866357,0.0713995499651939,0.00671802165311106,0.0137908692602302,0.031462685961227,0.00883757009653381,0.00938964602884579,0.0172452271676916,0.0167621865391874,0.0437597864101485,0.013478625260321,0.155424298986157,0.0730874847139838,"E02000024"
1.43864929800484,0.0692555068350454,0.00782174562847116,0.0125081603793976,0.0304861950019938,0.00869011903018467,0.008986145355868,0.0163091152594957,0.0182807828702591,0.0432240063500799,0.0128121749258445,0.147670288963897,0.0690223147054314,"E02000025"
1.42955739568097,0.0700241682988514,0.0101416107209455,0.0122865394180286,0.0306831253339577,0.00906989162125432,0.00916996682575392,0.0157908388544544,0.0205213663669551,0.0461155715802963,0.0127329327170053,0.145281435025842,0.0676411198530127,"E02000026"
1.549381127069,0.0731564794828085,0.00672562567428384,0.0156484664752572,0.0318729834052688,0.00895681066257904,0.00970814288481113,0.0174881354416211,0.0161121900865069,0.0420955780938212,0.0139258023048631,0.159796208242674,0.0770057641873442,"E02000027"
1.47026880218314,0.0700467704616323,0.00826835121431947,0.0129890770789714,0.0307962499249331,0.00883010080175067,0.00931701497865453,0.0165374761789156,0.0188011066407515,0.042348878748249,0.0130857460894697,0.150994785672181,0.0731550851773058,"E02000028"
1.44882170873152,0.0701371501524668,0.00980033892426184,0.0125361303243613,0.0309186347603806,0.00903791467590099,0.00932753016840905,0.0160774565932028,0.0206495680025552,0.0441182374356074,0.0129104670391789,0.147666155052188,0.0711579320564514,"E02000029"
1.69696688204357,0.0826712753153286,0.00584673611677238,0.0221075341835675,0.0342410324451987,0.00946395964555867,0.0103150567035814,0.0189723180423498,0.0143117497516652,0.0404430788016432,0.0155568091730517,0.174107045146016,0.0852101816650498,"E02000030"
1.51054277372957,0.0710561089418341,0.0090219169331577,0.0136202479946701,0.0312939215882064,0.00899295351437154,0.00964437477266994,0.0166375498568624,0.0191794360614744,0.0399462884627177,0.0133517272375131,0.155221713007174,0.0791173491374252,"E02000031"
1.45244308654676,0.0731162463947858,0.0133890608516256,0.0126120349362814,0.0312957526806639,0.00961661905608625,0.00975367632923556,0.0157173183100602,0.0225149842228346,0.0476214835837532,0.0131262399334668,0.145440281216825,0.0774890360888159,"E02000032"
1.47950287699973,0.0723937048555484,0.0128150771953911,0.0128213600043535,0.0317996487479742,0.00947545351510874,0.00985751767582216,0.0159591310741239,0.0226961842123818,0.041841662511668,0.0132583597414545,0.149198833985151,0.0819586523914643,"E02000033"
