"","result$global_measures"
"deviance",1116.24476878031
"full_Log_likelihood",-3191.17499891388
"pctdevg",0.625832059858121
"adjpctdevg",0.621674638300989
"AIC",6408.34999782776
"AICc",6408.71841888039
