Middle layer Super Output Areas Code,Middle layer Super Output Areas,Observation
E02000001,City of London 001,2975
E02000002,Barking and Dagenham 001,3831
E02000003,Barking and Dagenham 002,5389.7
E02000004,Barking and Dagenham 003,2663.6
E02000005,Barking and Dagenham 004,9327.5
E02000007,Barking and Dagenham 006,5854.4
E02000008,Barking and Dagenham 007,9331.6
E02000009,Barking and Dagenham 008,13380.5
E02000010,Barking and Dagenham 009,8458.9
E02000011,Barking and Dagenham 010,4410.6
E02000012,Barking and Dagenham 011,8852.6
E02000013,Barking and Dagenham 012,7203.7
E02000014,Barking and Dagenham 013,8269.8
E02000015,Barking and Dagenham 014,6042
E02000016,Barking and Dagenham 015,11925.1
E02000017,Barking and Dagenham 016,10419.9
E02000018,Barking and Dagenham 017,7034.9
E02000019,Barking and Dagenham 018,3187.3
E02000020,Barking and Dagenham 019,4116.3
E02000021,Barking and Dagenham 020,3043.2
E02000022,Barking and Dagenham 021,10270.7
E02000023,Barking and Dagenham 022,4594.6
E02000024,Barnet 001,2888.2
E02000025,Barnet 002,3573
E02000026,Barnet 003,4404.8
E02000027,Barnet 004,5761.1
E02000028,Barnet 005,6189.5
E02000029,Barnet 006,5745.1
E02000030,Barnet 007,648.7
E02000031,Barnet 008,4296.5
E02000032,Barnet 009,5679.6
E02000033,Barnet 010,5007
E02000034,Barnet 011,5831.7
E02000035,Barnet 012,6573.2
E02000036,Barnet 013,6265.1
E02000037,Barnet 014,2505.6
E02000038,Barnet 015,6082
E02000039,Barnet 016,3362.3
E02000040,Barnet 017,1772.8
E02000041,Barnet 018,7008.4
E02000042,Barnet 019,9531.6
E02000043,Barnet 020,5157.7
E02000044,Barnet 021,7986.3
E02000045,Barnet 022,6065.4
E02000046,Barnet 023,7170.7
E02000047,Barnet 024,8715.6
E02000048,Barnet 025,3334
E02000049,Barnet 026,13360.4
E02000050,Barnet 027,4893.4
E02000051,Barnet 028,6322
E02000052,Barnet 029,10163
E02000054,Barnet 031,5086
E02000055,Barnet 032,8140.7
E02000056,Barnet 033,2829.1
E02000057,Barnet 034,7322.5
E02000058,Barnet 035,5639.7
E02000059,Barnet 036,5298.8
E02000060,Barnet 037,9376.2
E02000061,Barnet 038,5257.7
E02000062,Barnet 039,3785.4
E02000063,Barnet 040,7309.9
E02000064,Barnet 041,8402.4
E02000065,Bexley 001,2519.8
E02000066,Bexley 002,5995.7
E02000067,Bexley 003,4431.3
E02000068,Bexley 004,3607
E02000069,Bexley 005,4969.3
E02000070,Bexley 006,4370.2
E02000071,Bexley 007,6509.4
E02000072,Bexley 008,2952.4
E02000073,Bexley 009,6704.2
E02000074,Bexley 010,7851.3
E02000075,Bexley 011,5201.3
E02000077,Bexley 013,7283.6
E02000078,Bexley 014,5331.7
E02000079,Bexley 015,5321.9
E02000080,Bexley 016,5949.3
E02000081,Bexley 017,3765.9
E02000082,Bexley 018,6234
E02000083,Bexley 019,3013.2
E02000084,Bexley 020,4285.5
E02000085,Bexley 021,4903.3
E02000086,Bexley 022,4822
E02000087,Bexley 023,2209
E02000088,Bexley 024,3877.3
E02000089,Bexley 025,5753.5
E02000090,Bexley 026,5326.6
E02000091,Bexley 027,3718.2
E02000092,Bexley 028,1127
E02000093,Brent 001,8624
E02000094,Brent 002,8989.3
E02000095,Brent 003,6754.3
E02000096,Brent 004,4666.5
E02000097,Brent 005,5094.1
E02000098,Brent 006,4755
E02000099,Brent 007,7426.4
E02000100,Brent 008,4003.6
E02000101,Brent 009,7078.6
E02000102,Brent 010,6126.2
E02000103,Brent 011,5628.1
E02000104,Brent 012,6774.7
E02000105,Brent 013,7185.9
E02000106,Brent 014,7719.2
E02000107,Brent 015,11458
E02000108,Brent 016,8929.8
E02000110,Brent 018,10230.3
E02000111,Brent 019,10002.7
E02000112,Brent 020,9259.9
E02000113,Brent 021,6491
E02000114,Brent 022,14668.2
E02000115,Brent 023,10160.3
E02000116,Brent 024,7798
E02000117,Brent 025,14306.7
E02000118,Brent 026,9150.8
E02000119,Brent 027,4131.8
E02000120,Brent 028,17810.7
E02000121,Brent 029,8770.4
E02000122,Brent 030,6798.9
E02000123,Brent 031,13118.8
E02000124,Brent 032,9078.8
E02000125,Brent 033,12981.6
E02000126,Brent 034,18710
E02000127,Bromley 001,4192.1
E02000128,Bromley 002,3070.2
E02000130,Bromley 004,5669.5
E02000131,Bromley 005,5935.1
E02000132,Bromley 006,5660.2
E02000133,Bromley 007,1799.1
E02000134,Bromley 008,6072.2
E02000135,Bromley 009,8530.7
E02000136,Bromley 010,1260
E02000137,Bromley 011,4512.7
E02000138,Bromley 012,4077.5
E02000139,Bromley 013,5020.8
E02000140,Bromley 014,4599.2
E02000141,Bromley 015,7749.7
E02000142,Bromley 016,4953.6
E02000144,Bromley 018,5068.8
E02000145,Bromley 019,782.2
E02000146,Bromley 020,5378.9
E02000147,Bromley 021,3639.7
E02000148,Bromley 022,2395.3
E02000149,Bromley 023,4346.2
E02000150,Bromley 024,2768
E02000151,Bromley 025,3589.3
E02000152,Bromley 026,3095.1
E02000153,Bromley 027,3605.7
E02000154,Bromley 028,4088.4
E02000155,Bromley 029,3936
E02000156,Bromley 030,3198.1
E02000157,Bromley 031,3418.3
E02000158,Bromley 032,3605.6
E02000159,Bromley 033,1209.1
E02000160,Bromley 034,958.5
E02000161,Bromley 035,5062.2
E02000162,Bromley 036,558.1
E02000163,Bromley 037,682.4
E02000165,Bromley 039,1266.7
E02000166,Camden 001,2561.3
E02000167,Camden 002,3458.4
E02000168,Camden 003,11479.6
E02000169,Camden 004,6393.2
E02000170,Camden 005,10264.5
E02000171,Camden 006,14174.5
E02000172,Camden 007,14951.4
E02000173,Camden 008,9622.4
E02000174,Camden 009,14812.2
E02000175,Camden 010,13135.7
E02000176,Camden 011,14874.2
E02000177,Camden 012,16204.7
E02000178,Camden 013,15844.5
E02000179,Camden 014,15019.6
E02000180,Camden 015,16228.6
E02000181,Camden 016,14936.2
E02000182,Camden 017,8919.7
E02000183,Camden 018,9835.4
E02000184,Camden 019,13399.5
E02000185,Camden 020,18813.8
E02000186,Camden 021,6201.9
E02000187,Camden 022,10104.3
E02000188,Camden 023,14140.2
E02000191,Camden 026,8311.8
E02000192,Camden 027,15417.9
E02000193,Camden 028,5469.8
E02000194,Croydon 001,6615.7
E02000195,Croydon 002,4983.5
E02000196,Croydon 003,6455.7
E02000197,Croydon 004,9091.4
E02000198,Croydon 005,9965.2
E02000199,Croydon 006,9752
E02000200,Croydon 007,7253.7
E02000201,Croydon 008,10119.9
E02000202,Croydon 009,12146.6
E02000203,Croydon 010,10294.7
E02000204,Croydon 011,8884.7
E02000206,Croydon 013,7404
E02000207,Croydon 014,7174.4
E02000208,Croydon 015,12407.8
E02000209,Croydon 016,9043.5
E02000210,Croydon 017,11239.7
E02000211,Croydon 018,4930.3
E02000212,Croydon 019,7622.5
E02000213,Croydon 020,12415.6
E02000214,Croydon 021,6048.5
E02000215,Croydon 022,11984.4
E02000216,Croydon 023,3275.6
E02000217,Croydon 024,8332.2
E02000218,Croydon 025,5862
E02000219,Croydon 026,1336.2
E02000221,Croydon 028,3870.4
E02000222,Croydon 029,4485.9
E02000223,Croydon 030,8868.8
E02000224,Croydon 031,6288
E02000225,Croydon 032,4597.8
E02000226,Croydon 033,2320.7
E02000227,Croydon 034,2539.2
E02000228,Croydon 035,2542
E02000229,Croydon 036,4725.4
E02000230,Croydon 037,4016.4
E02000231,Croydon 038,2358.3
E02000232,Croydon 039,1417.7
E02000233,Croydon 040,4010.1
E02000234,Croydon 041,3038.5
E02000235,Croydon 042,1277.1
E02000236,Croydon 043,2554.1
E02000237,Croydon 044,1535.7
E02000238,Ealing 001,7024.2
E02000239,Ealing 002,3839.5
E02000240,Ealing 003,6489.3
E02000241,Ealing 004,5667.1
E02000242,Ealing 005,7749
E02000243,Ealing 006,3064.3
E02000244,Ealing 007,4390.6
E02000245,Ealing 008,5622.8
E02000246,Ealing 009,4598.5
E02000247,Ealing 010,7978.7
E02000248,Ealing 011,4468.2
E02000249,Ealing 012,6553.5
E02000250,Ealing 013,6499.2
