Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000239,Ealing 002,13,"White: English, Welsh, Scottish, Northern Irish or British",1362
E02000239,Ealing 002,14,White: Irish,198
E02000239,Ealing 002,15,White: Gypsy or Irish Traveller,0
E02000239,Ealing 002,16,White: Roma,33
E02000239,Ealing 002,17,White: Other White,1823
E02000239,Ealing 002,18,Other ethnic group: Arab,432
E02000239,Ealing 002,19,Other ethnic group: Any other ethnic group,491
E02000240,Ealing 003,-8,Does not apply,0
E02000240,Ealing 003,1,"Asian, Asian British or Asian Welsh: Bangladeshi",72
E02000240,Ealing 003,2,"Asian, Asian British or Asian Welsh: Chinese",114
E02000240,Ealing 003,3,"Asian, Asian British or Asian Welsh: Indian",937
E02000240,Ealing 003,4,"Asian, Asian British or Asian Welsh: Pakistani",421
E02000240,Ealing 003,5,"Asian, Asian British or Asian Welsh: Other Asian",1584
E02000240,Ealing 003,6,"Black, Black British, Black Welsh, Caribbean or African: African",942
E02000240,Ealing 003,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",701
E02000240,Ealing 003,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",189
E02000240,Ealing 003,9,Mixed or Multiple ethnic groups: White and Asian,115
E02000240,Ealing 003,10,Mixed or Multiple ethnic groups: White and Black African,90
E02000240,Ealing 003,11,Mixed or Multiple ethnic groups: White and Black Caribbean,234
E02000240,Ealing 003,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,162
E02000240,Ealing 003,13,"White: English, Welsh, Scottish, Northern Irish or British",2576
E02000240,Ealing 003,14,White: Irish,179
E02000240,Ealing 003,15,White: Gypsy or Irish Traveller,20
E02000240,Ealing 003,16,White: Roma,39
E02000240,Ealing 003,17,White: Other White,1729
E02000240,Ealing 003,18,Other ethnic group: Arab,411
E02000240,Ealing 003,19,Other ethnic group: Any other ethnic group,693
E02000241,Ealing 004,-8,Does not apply,0
E02000241,Ealing 004,1,"Asian, Asian British or Asian Welsh: Bangladeshi",37
E02000241,Ealing 004,2,"Asian, Asian British or Asian Welsh: Chinese",78
E02000241,Ealing 004,3,"Asian, Asian British or Asian Welsh: Indian",798
E02000241,Ealing 004,4,"Asian, Asian British or Asian Welsh: Pakistani",272
E02000241,Ealing 004,5,"Asian, Asian British or Asian Welsh: Other Asian",1013
E02000241,Ealing 004,6,"Black, Black British, Black Welsh, Caribbean or African: African",457
E02000241,Ealing 004,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",415
E02000241,Ealing 004,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",96
E02000241,Ealing 004,9,Mixed or Multiple ethnic groups: White and Asian,81
E02000241,Ealing 004,10,Mixed or Multiple ethnic groups: White and Black African,37
E02000241,Ealing 004,11,Mixed or Multiple ethnic groups: White and Black Caribbean,95
E02000241,Ealing 004,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,109
E02000241,Ealing 004,13,"White: English, Welsh, Scottish, Northern Irish or British",1624
E02000241,Ealing 004,14,White: Irish,146
E02000241,Ealing 004,15,White: Gypsy or Irish Traveller,0
E02000241,Ealing 004,16,White: Roma,16
E02000241,Ealing 004,17,White: Other White,1265
E02000241,Ealing 004,18,Other ethnic group: Arab,387
E02000241,Ealing 004,19,Other ethnic group: Any other ethnic group,467
E02000242,Ealing 005,-8,Does not apply,0
E02000242,Ealing 005,1,"Asian, Asian British or Asian Welsh: Bangladeshi",76
E02000242,Ealing 005,2,"Asian, Asian British or Asian Welsh: Chinese",67
E02000242,Ealing 005,3,"Asian, Asian British or Asian Welsh: Indian",1392
E02000242,Ealing 005,4,"Asian, Asian British or Asian Welsh: Pakistani",381
E02000242,Ealing 005,5,"Asian, Asian British or Asian Welsh: Other Asian",927
E02000242,Ealing 005,6,"Black, Black British, Black Welsh, Caribbean or African: African",154
E02000242,Ealing 005,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",242
E02000242,Ealing 005,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",89
E02000242,Ealing 005,9,Mixed or Multiple ethnic groups: White and Asian,50
E02000242,Ealing 005,10,Mixed or Multiple ethnic groups: White and Black African,24
E02000242,Ealing 005,11,Mixed or Multiple ethnic groups: White and Black Caribbean,48
E02000242,Ealing 005,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,104
E02000242,Ealing 005,13,"White: English, Welsh, Scottish, Northern Irish or British",895
E02000242,Ealing 005,14,White: Irish,129
E02000242,Ealing 005,15,White: Gypsy or Irish Traveller,1
E02000242,Ealing 005,16,White: Roma,14
E02000242,Ealing 005,17,White: Other White,1269
E02000242,Ealing 005,18,Other ethnic group: Arab,593
E02000242,Ealing 005,19,Other ethnic group: Any other ethnic group,433
E02000243,Ealing 006,-8,Does not apply,0
E02000243,Ealing 006,1,"Asian, Asian British or Asian Welsh: Bangladeshi",117
E02000243,Ealing 006,2,"Asian, Asian British or Asian Welsh: Chinese",92
E02000243,Ealing 006,3,"Asian, Asian British or Asian Welsh: Indian",1078
E02000243,Ealing 006,4,"Asian, Asian British or Asian Welsh: Pakistani",413
E02000243,Ealing 006,5,"Asian, Asian British or Asian Welsh: Other Asian",651
E02000243,Ealing 006,6,"Black, Black British, Black Welsh, Caribbean or African: African",482
E02000243,Ealing 006,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",429
E02000243,Ealing 006,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",135
E02000243,Ealing 006,9,Mixed or Multiple ethnic groups: White and Asian,110
E02000243,Ealing 006,10,Mixed or Multiple ethnic groups: White and Black African,39
E02000243,Ealing 006,11,Mixed or Multiple ethnic groups: White and Black Caribbean,119
E02000243,Ealing 006,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,151
E02000243,Ealing 006,13,"White: English, Welsh, Scottish, Northern Irish or British",1721
E02000243,Ealing 006,14,White: Irish,212
E02000243,Ealing 006,15,White: Gypsy or Irish Traveller,0
E02000243,Ealing 006,16,White: Roma,26
E02000243,Ealing 006,17,White: Other White,1931
E02000243,Ealing 006,18,Other ethnic group: Arab,584
E02000243,Ealing 006,19,Other ethnic group: Any other ethnic group,432
E02000244,Ealing 007,-8,Does not apply,0
E02000244,Ealing 007,1,"Asian, Asian British or Asian Welsh: Bangladeshi",50
E02000244,Ealing 007,2,"Asian, Asian British or Asian Welsh: Chinese",93
E02000244,Ealing 007,3,"Asian, Asian British or Asian Welsh: Indian",700
E02000244,Ealing 007,4,"Asian, Asian British or Asian Welsh: Pakistani",303
E02000244,Ealing 007,5,"Asian, Asian British or Asian Welsh: Other Asian",530
E02000244,Ealing 007,6,"Black, Black British, Black Welsh, Caribbean or African: African",332
E02000244,Ealing 007,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",249
E02000244,Ealing 007,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",61
E02000244,Ealing 007,9,Mixed or Multiple ethnic groups: White and Asian,112
E02000244,Ealing 007,10,Mixed or Multiple ethnic groups: White and Black African,40
E02000244,Ealing 007,11,Mixed or Multiple ethnic groups: White and Black Caribbean,95
E02000244,Ealing 007,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,143
E02000244,Ealing 007,13,"White: English, Welsh, Scottish, Northern Irish or British",1466
E02000244,Ealing 007,14,White: Irish,162
E02000244,Ealing 007,15,White: Gypsy or Irish Traveller,2
E02000244,Ealing 007,16,White: Roma,43
E02000244,Ealing 007,17,White: Other White,1945
E02000244,Ealing 007,18,Other ethnic group: Arab,925
E02000244,Ealing 007,19,Other ethnic group: Any other ethnic group,638
E02000245,Ealing 008,-8,Does not apply,0
E02000245,Ealing 008,1,"Asian, Asian British or Asian Welsh: Bangladeshi",89
E02000245,Ealing 008,2,"Asian, Asian British or Asian Welsh: Chinese",51
E02000245,Ealing 008,3,"Asian, Asian British or Asian Welsh: Indian",857
E02000245,Ealing 008,4,"Asian, Asian British or Asian Welsh: Pakistani",483
E02000245,Ealing 008,5,"Asian, Asian British or Asian Welsh: Other Asian",1051
E02000245,Ealing 008,6,"Black, Black British, Black Welsh, Caribbean or African: African",1127
E02000245,Ealing 008,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",600
E02000245,Ealing 008,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",200
E02000245,Ealing 008,9,Mixed or Multiple ethnic groups: White and Asian,73
E02000245,Ealing 008,10,Mixed or Multiple ethnic groups: White and Black African,74
E02000245,Ealing 008,11,Mixed or Multiple ethnic groups: White and Black Caribbean,301
E02000245,Ealing 008,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,143
E02000245,Ealing 008,13,"White: English, Welsh, Scottish, Northern Irish or British",1993
E02000245,Ealing 008,14,White: Irish,98
E02000245,Ealing 008,15,White: Gypsy or Irish Traveller,9
E02000245,Ealing 008,16,White: Roma,14
E02000245,Ealing 008,17,White: Other White,1149
E02000245,Ealing 008,18,Other ethnic group: Arab,391
E02000245,Ealing 008,19,Other ethnic group: Any other ethnic group,607
E02000246,Ealing 009,-8,Does not apply,0
E02000246,Ealing 009,1,"Asian, Asian British or Asian Welsh: Bangladeshi",55
E02000246,Ealing 009,2,"Asian, Asian British or Asian Welsh: Chinese",49
E02000246,Ealing 009,3,"Asian, Asian British or Asian Welsh: Indian",845
E02000246,Ealing 009,4,"Asian, Asian British or Asian Welsh: Pakistani",458
E02000246,Ealing 009,5,"Asian, Asian British or Asian Welsh: Other Asian",1228
E02000246,Ealing 009,6,"Black, Black British, Black Welsh, Caribbean or African: African",1063
E02000246,Ealing 009,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",507
E02000246,Ealing 009,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",192
E02000246,Ealing 009,9,Mixed or Multiple ethnic groups: White and Asian,115
E02000246,Ealing 009,10,Mixed or Multiple ethnic groups: White and Black African,66
E02000246,Ealing 009,11,Mixed or Multiple ethnic groups: White and Black Caribbean,161
E02000246,Ealing 009,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,188
E02000246,Ealing 009,13,"White: English, Welsh, Scottish, Northern Irish or British",2206
E02000246,Ealing 009,14,White: Irish,171
E02000246,Ealing 009,15,White: Gypsy or Irish Traveller,11
E02000246,Ealing 009,16,White: Roma,37
E02000246,Ealing 009,17,White: Other White,980
E02000246,Ealing 009,18,Other ethnic group: Arab,457
E02000246,Ealing 009,19,Other ethnic group: Any other ethnic group,673
E02000247,Ealing 010,-8,Does not apply,0
E02000247,Ealing 010,1,"Asian, Asian British or Asian Welsh: Bangladeshi",97
E02000247,Ealing 010,2,"Asian, Asian British or Asian Welsh: Chinese",69
E02000247,Ealing 010,3,"Asian, Asian British or Asian Welsh: Indian",1264
E02000247,Ealing 010,4,"Asian, Asian British or Asian Welsh: Pakistani",651
E02000247,Ealing 010,5,"Asian, Asian British or Asian Welsh: Other Asian",1355
E02000247,Ealing 010,6,"Black, Black British, Black Welsh, Caribbean or African: African",932
E02000247,Ealing 010,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",671
E02000247,Ealing 010,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",214
E02000247,Ealing 010,9,Mixed or Multiple ethnic groups: White and Asian,132
E02000247,Ealing 010,10,Mixed or Multiple ethnic groups: White and Black African,114
E02000247,Ealing 010,11,Mixed or Multiple ethnic groups: White and Black Caribbean,223
E02000247,Ealing 010,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,202
E02000247,Ealing 010,13,"White: English, Welsh, Scottish, Northern Irish or British",2149
E02000247,Ealing 010,14,White: Irish,203
E02000247,Ealing 010,15,White: Gypsy or Irish Traveller,21
E02000247,Ealing 010,16,White: Roma,24
E02000247,Ealing 010,17,White: Other White,1557
E02000247,Ealing 010,18,Other ethnic group: Arab,544
E02000247,Ealing 010,19,Other ethnic group: Any other ethnic group,732
E02000248,Ealing 011,-8,Does not apply,0
E02000248,Ealing 011,1,"Asian, Asian British or Asian Welsh: Bangladeshi",47
E02000248,Ealing 011,2,"Asian, Asian British or Asian Welsh: Chinese",155
E02000248,Ealing 011,3,"Asian, Asian British or Asian Welsh: Indian",624
E02000248,Ealing 011,4,"Asian, Asian British or Asian Welsh: Pakistani",280
E02000248,Ealing 011,5,"Asian, Asian British or Asian Welsh: Other Asian",528
E02000248,Ealing 011,6,"Black, Black British, Black Welsh, Caribbean or African: African",278
E02000248,Ealing 011,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",134
E02000248,Ealing 011,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",36
E02000248,Ealing 011,9,Mixed or Multiple ethnic groups: White and Asian,113
E02000248,Ealing 011,10,Mixed or Multiple ethnic groups: White and Black African,46
E02000248,Ealing 011,11,Mixed or Multiple ethnic groups: White and Black Caribbean,72
E02000248,Ealing 011,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,123
E02000248,Ealing 011,13,"White: English, Welsh, Scottish, Northern Irish or British",1429
E02000248,Ealing 011,14,White: Irish,118
E02000248,Ealing 011,15,White: Gypsy or Irish Traveller,4
E02000248,Ealing 011,16,White: Roma,54
E02000248,Ealing 011,17,White: Other White,1979
E02000248,Ealing 011,18,Other ethnic group: Arab,1051
E02000248,Ealing 011,19,Other ethnic group: Any other ethnic group,645
E02000249,Ealing 012,-8,Does not apply,0
E02000249,Ealing 012,1,"Asian, Asian British or Asian Welsh: Bangladeshi",57
E02000249,Ealing 012,2,"Asian, Asian British or Asian Welsh: Chinese",73
E02000249,Ealing 012,3,"Asian, Asian British or Asian Welsh: Indian",1153
E02000249,Ealing 012,4,"Asian, Asian British or Asian Welsh: Pakistani",514
E02000249,Ealing 012,5,"Asian, Asian British or Asian Welsh: Other Asian",765
E02000249,Ealing 012,6,"Black, Black British, Black Welsh, Caribbean or African: African",610
E02000249,Ealing 012,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",387
E02000249,Ealing 012,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",73
E02000249,Ealing 012,9,Mixed or Multiple ethnic groups: White and Asian,96
E02000249,Ealing 012,10,Mixed or Multiple ethnic groups: White and Black African,45
E02000249,Ealing 012,11,Mixed or Multiple ethnic groups: White and Black Caribbean,123
E02000249,Ealing 012,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,126
E02000249,Ealing 012,13,"White: English, Welsh, Scottish, Northern Irish or British",1653
E02000249,Ealing 012,14,White: Irish,259
E02000249,Ealing 012,15,White: Gypsy or Irish Traveller,8
E02000249,Ealing 012,16,White: Roma,20
E02000249,Ealing 012,17,White: Other White,1335
E02000249,Ealing 012,18,Other ethnic group: Arab,443
E02000249,Ealing 012,19,Other ethnic group: Any other ethnic group,641
E02000250,Ealing 013,-8,Does not apply,0
E02000250,Ealing 013,1,"Asian, Asian British or Asian Welsh: Bangladeshi",20
E02000250,Ealing 013,2,"Asian, Asian British or Asian Welsh: Chinese",115
E02000250,Ealing 013,3,"Asian, Asian British or Asian Welsh: Indian",395
E02000250,Ealing 013,4,"Asian, Asian British or Asian Welsh: Pakistani",93
E02000250,Ealing 013,5,"Asian, Asian British or Asian Welsh: Other Asian",279
E02000250,Ealing 013,6,"Black, Black British, Black Welsh, Caribbean or African: African",152
E02000250,Ealing 013,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",77
E02000250,Ealing 013,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",31
E02000250,Ealing 013,9,Mixed or Multiple ethnic groups: White and Asian,166
E02000250,Ealing 013,10,Mixed or Multiple ethnic groups: White and Black African,42
E02000250,Ealing 013,11,Mixed or Multiple ethnic groups: White and Black Caribbean,57
E02000250,Ealing 013,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,158
E02000250,Ealing 013,13,"White: English, Welsh, Scottish, Northern Irish or British",2919
E02000250,Ealing 013,14,White: Irish,235
E02000250,Ealing 013,15,White: Gypsy or Irish Traveller,1
E02000250,Ealing 013,16,White: Roma,15
E02000250,Ealing 013,17,White: Other White,1145
E02000250,Ealing 013,18,Other ethnic group: Arab,228
E02000250,Ealing 013,19,Other ethnic group: Any other ethnic group,352
E02000251,Ealing 014,-8,Does not apply,0
E02000251,Ealing 014,1,"Asian, Asian British or Asian Welsh: Bangladeshi",66
E02000251,Ealing 014,2,"Asian, Asian British or Asian Welsh: Chinese",20
E02000251,Ealing 014,3,"Asian, Asian British or Asian Welsh: Indian",2207
E02000251,Ealing 014,4,"Asian, Asian British or Asian Welsh: Pakistani",828
E02000251,Ealing 014,5,"Asian, Asian British or Asian Welsh: Other Asian",1204
E02000251,Ealing 014,6,"Black, Black British, Black Welsh, Caribbean or African: African",221
E02000251,Ealing 014,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",434
E02000251,Ealing 014,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",95
E02000251,Ealing 014,9,Mixed or Multiple ethnic groups: White and Asian,97
E02000251,Ealing 014,10,Mixed or Multiple ethnic groups: White and Black African,31
E02000251,Ealing 014,11,Mixed or Multiple ethnic groups: White and Black Caribbean,67
E02000251,Ealing 014,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,112
E02000251,Ealing 014,13,"White: English, Welsh, Scottish, Northern Irish or British",811
E02000251,Ealing 014,14,White: Irish,211
E02000251,Ealing 014,15,White: Gypsy or Irish Traveller,1
E02000251,Ealing 014,16,White: Roma,12
E02000251,Ealing 014,17,White: Other White,994
E02000251,Ealing 014,18,Other ethnic group: Arab,244
E02000251,Ealing 014,19,Other ethnic group: Any other ethnic group,657
E02000252,Ealing 015,-8,Does not apply,0
E02000252,Ealing 015,1,"Asian, Asian British or Asian Welsh: Bangladeshi",74
E02000252,Ealing 015,2,"Asian, Asian British or Asian Welsh: Chinese",547
E02000252,Ealing 015,3,"Asian, Asian British or Asian Welsh: Indian",574
E02000252,Ealing 015,4,"Asian, Asian British or Asian Welsh: Pakistani",315
E02000252,Ealing 015,5,"Asian, Asian British or Asian Welsh: Other Asian",768
E02000252,Ealing 015,6,"Black, Black British, Black Welsh, Caribbean or African: African",1053
E02000252,Ealing 015,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",661
E02000252,Ealing 015,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",214
E02000252,Ealing 015,9,Mixed or Multiple ethnic groups: White and Asian,169
E02000252,Ealing 015,10,Mixed or Multiple ethnic groups: White and Black African,137
E02000252,Ealing 015,11,Mixed or Multiple ethnic groups: White and Black Caribbean,214
E02000252,Ealing 015,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,315
E02000252,Ealing 015,13,"White: English, Welsh, Scottish, Northern Irish or British",2699
E02000252,Ealing 015,14,White: Irish,239
E02000252,Ealing 015,15,White: Gypsy or Irish Traveller,67
E02000252,Ealing 015,16,White: Roma,92
E02000252,Ealing 015,17,White: Other White,2512
E02000252,Ealing 015,18,Other ethnic group: Arab,950
E02000252,Ealing 015,19,Other ethnic group: Any other ethnic group,640
E02000253,Ealing 016,-8,Does not apply,0
E02000253,Ealing 016,1,"Asian, Asian British or Asian Welsh: Bangladeshi",42
E02000253,Ealing 016,2,"Asian, Asian British or Asian Welsh: Chinese",111
E02000253,Ealing 016,3,"Asian, Asian British or Asian Welsh: Indian",663
E02000253,Ealing 016,4,"Asian, Asian British or Asian Welsh: Pakistani",331
E02000253,Ealing 016,5,"Asian, Asian British or Asian Welsh: Other Asian",936
E02000253,Ealing 016,6,"Black, Black British, Black Welsh, Caribbean or African: African",1076
E02000253,Ealing 016,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",594
E02000253,Ealing 016,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",137
E02000253,Ealing 016,9,Mixed or Multiple ethnic groups: White and Asian,200
E02000253,Ealing 016,10,Mixed or Multiple ethnic groups: White and Black African,80
E02000253,Ealing 016,11,Mixed or Multiple ethnic groups: White and Black Caribbean,250
E02000253,Ealing 016,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,272
E02000253,Ealing 016,13,"White: English, Welsh, Scottish, Northern Irish or British",2624
E02000253,Ealing 016,14,White: Irish,310
E02000253,Ealing 016,15,White: Gypsy or Irish Traveller,16
E02000253,Ealing 016,16,White: Roma,24
E02000253,Ealing 016,17,White: Other White,1628
E02000253,Ealing 016,18,Other ethnic group: Arab,402
E02000253,Ealing 016,19,Other ethnic group: Any other ethnic group,647
E02000254,Ealing 017,-8,Does not apply,0
E02000254,Ealing 017,1,"Asian, Asian British or Asian Welsh: Bangladeshi",163
E02000254,Ealing 017,2,"Asian, Asian British or Asian Welsh: Chinese",10
E02000254,Ealing 017,3,"Asian, Asian British or Asian Welsh: Indian",4062
E02000254,Ealing 017,4,"Asian, Asian British or Asian Welsh: Pakistani",1004
E02000254,Ealing 017,5,"Asian, Asian British or Asian Welsh: Other Asian",1199
E02000254,Ealing 017,6,"Black, Black British, Black Welsh, Caribbean or African: African",228
E02000254,Ealing 017,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",205
E02000254,Ealing 017,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",61
E02000254,Ealing 017,9,Mixed or Multiple ethnic groups: White and Asian,51
E02000254,Ealing 017,10,Mixed or Multiple ethnic groups: White and Black African,10
E02000254,Ealing 017,11,Mixed or Multiple ethnic groups: White and Black Caribbean,41
E02000254,Ealing 017,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,44
E02000254,Ealing 017,13,"White: English, Welsh, Scottish, Northern Irish or British",492
E02000254,Ealing 017,14,White: Irish,33
E02000254,Ealing 017,15,White: Gypsy or Irish Traveller,0
E02000254,Ealing 017,16,White: Roma,5
E02000254,Ealing 017,17,White: Other White,423
E02000254,Ealing 017,18,Other ethnic group: Arab,120
E02000254,Ealing 017,19,Other ethnic group: Any other ethnic group,1057
E02000255,Ealing 018,-8,Does not apply,0
E02000255,Ealing 018,1,"Asian, Asian British or Asian Welsh: Bangladeshi",62
E02000255,Ealing 018,2,"Asian, Asian British or Asian Welsh: Chinese",116
E02000255,Ealing 018,3,"Asian, Asian British or Asian Welsh: Indian",628
E02000255,Ealing 018,4,"Asian, Asian British or Asian Welsh: Pakistani",233
E02000255,Ealing 018,5,"Asian, Asian British or Asian Welsh: Other Asian",524
E02000255,Ealing 018,6,"Black, Black British, Black Welsh, Caribbean or African: African",904
E02000255,Ealing 018,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",297
E02000255,Ealing 018,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",136
E02000255,Ealing 018,9,Mixed or Multiple ethnic groups: White and Asian,193
E02000255,Ealing 018,10,Mixed or Multiple ethnic groups: White and Black African,64
E02000255,Ealing 018,11,Mixed or Multiple ethnic groups: White and Black Caribbean,121
E02000255,Ealing 018,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,238
E02000255,Ealing 018,13,"White: English, Welsh, Scottish, Northern Irish or British",3342
E02000255,Ealing 018,14,White: Irish,333
E02000255,Ealing 018,15,White: Gypsy or Irish Traveller,10
E02000255,Ealing 018,16,White: Roma,18
E02000255,Ealing 018,17,White: Other White,1671
E02000255,Ealing 018,18,Other ethnic group: Arab,433
E02000255,Ealing 018,19,Other ethnic group: Any other ethnic group,539
E02000256,Ealing 019,-8,Does not apply,0
E02000256,Ealing 019,1,"Asian, Asian British or Asian Welsh: Bangladeshi",44
E02000256,Ealing 019,2,"Asian, Asian British or Asian Welsh: Chinese",176
E02000256,Ealing 019,3,"Asian, Asian British or Asian Welsh: Indian",745
E02000256,Ealing 019,4,"Asian, Asian British or Asian Welsh: Pakistani",153
E02000256,Ealing 019,5,"Asian, Asian British or Asian Welsh: Other Asian",559
E02000256,Ealing 019,6,"Black, Black British, Black Welsh, Caribbean or African: African",257
E02000256,Ealing 019,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",190
E02000256,Ealing 019,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",58
E02000256,Ealing 019,9,Mixed or Multiple ethnic groups: White and Asian,182
E02000256,Ealing 019,10,Mixed or Multiple ethnic groups: White and Black African,95
E02000256,Ealing 019,11,Mixed or Multiple ethnic groups: White and Black Caribbean,97
E02000256,Ealing 019,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,243
E02000256,Ealing 019,13,"White: English, Welsh, Scottish, Northern Irish or British",3295
E02000256,Ealing 019,14,White: Irish,304
E02000256,Ealing 019,15,White: Gypsy or Irish Traveller,0
E02000256,Ealing 019,16,White: Roma,39
E02000256,Ealing 019,17,White: Other White,2030
E02000256,Ealing 019,18,Other ethnic group: Arab,275
E02000256,Ealing 019,19,Other ethnic group: Any other ethnic group,444
E02000258,Ealing 021,-8,Does not apply,0
E02000258,Ealing 021,1,"Asian, Asian British or Asian Welsh: Bangladeshi",20
E02000258,Ealing 021,2,"Asian, Asian British or Asian Welsh: Chinese",96
E02000258,Ealing 021,3,"Asian, Asian British or Asian Welsh: Indian",216
E02000258,Ealing 021,4,"Asian, Asian British or Asian Welsh: Pakistani",156
E02000258,Ealing 021,5,"Asian, Asian British or Asian Welsh: Other Asian",781
E02000258,Ealing 021,6,"Black, Black British, Black Welsh, Caribbean or African: African",330
E02000258,Ealing 021,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",201
E02000258,Ealing 021,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",62
E02000258,Ealing 021,9,Mixed or Multiple ethnic groups: White and Asian,105
E02000258,Ealing 021,10,Mixed or Multiple ethnic groups: White and Black African,51
E02000258,Ealing 021,11,Mixed or Multiple ethnic groups: White and Black Caribbean,98
E02000258,Ealing 021,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,122
E02000258,Ealing 021,13,"White: English, Welsh, Scottish, Northern Irish or British",1984
E02000258,Ealing 021,14,White: Irish,214
E02000258,Ealing 021,15,White: Gypsy or Irish Traveller,8
E02000258,Ealing 021,16,White: Roma,45
E02000258,Ealing 021,17,White: Other White,1432
E02000258,Ealing 021,18,Other ethnic group: Arab,631
E02000258,Ealing 021,19,Other ethnic group: Any other ethnic group,348
E02000259,Ealing 022,-8,Does not apply,0
E02000259,Ealing 022,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1
E02000259,Ealing 022,2,"Asian, Asian British or Asian Welsh: Chinese",58
E02000259,Ealing 022,3,"Asian, Asian British or Asian Welsh: Indian",322
E02000259,Ealing 022,4,"Asian, Asian British or Asian Welsh: Pakistani",159
E02000259,Ealing 022,5,"Asian, Asian British or Asian Welsh: Other Asian",364
E02000259,Ealing 022,6,"Black, Black British, Black Welsh, Caribbean or African: African",282
E02000259,Ealing 022,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",224
E02000259,Ealing 022,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",65
E02000259,Ealing 022,9,Mixed or Multiple ethnic groups: White and Asian,146
E02000259,Ealing 022,10,Mixed or Multiple ethnic groups: White and Black African,79
E02000259,Ealing 022,11,Mixed or Multiple ethnic groups: White and Black Caribbean,107
E02000259,Ealing 022,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,148
E02000259,Ealing 022,13,"White: English, Welsh, Scottish, Northern Irish or British",2518
E02000259,Ealing 022,14,White: Irish,309
E02000259,Ealing 022,15,White: Gypsy or Irish Traveller,0
E02000259,Ealing 022,16,White: Roma,8
E02000259,Ealing 022,17,White: Other White,1338
E02000259,Ealing 022,18,Other ethnic group: Arab,199
E02000259,Ealing 022,19,Other ethnic group: Any other ethnic group,258
E02000260,Ealing 023,-8,Does not apply,0
