Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000004,Barking and Dagenham 003,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",132
E02000004,Barking and Dagenham 003,9,Mixed or Multiple ethnic groups: White and Asian,47
E02000004,Barking and Dagenham 003,10,Mixed or Multiple ethnic groups: White and Black African,51
E02000004,Barking and Dagenham 003,11,Mixed or Multiple ethnic groups: White and Black Caribbean,96
E02000004,Barking and Dagenham 003,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,52
E02000004,Barking and Dagenham 003,13,"White: English, Welsh, Scottish, Northern Irish or British",3398
E02000004,Barking and Dagenham 003,14,White: Irish,66
E02000004,Barking and Dagenham 003,15,White: Gypsy or Irish Traveller,24
E02000004,Barking and Dagenham 003,16,White: Roma,14
E02000004,Barking and Dagenham 003,17,White: Other White,673
E02000004,Barking and Dagenham 003,18,Other ethnic group: Arab,31
E02000004,Barking and Dagenham 003,19,Other ethnic group: Any other ethnic group,191
E02000005,Barking and Dagenham 004,-8,Does not apply,0
E02000005,Barking and Dagenham 004,1,"Asian, Asian British or Asian Welsh: Bangladeshi",873
E02000005,Barking and Dagenham 004,2,"Asian, Asian British or Asian Welsh: Chinese",68
E02000005,Barking and Dagenham 004,3,"Asian, Asian British or Asian Welsh: Indian",1166
E02000005,Barking and Dagenham 004,4,"Asian, Asian British or Asian Welsh: Pakistani",985
E02000005,Barking and Dagenham 004,5,"Asian, Asian British or Asian Welsh: Other Asian",241
E02000005,Barking and Dagenham 004,6,"Black, Black British, Black Welsh, Caribbean or African: African",1437
E02000005,Barking and Dagenham 004,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",295
E02000005,Barking and Dagenham 004,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",225
E02000005,Barking and Dagenham 004,9,Mixed or Multiple ethnic groups: White and Asian,78
E02000005,Barking and Dagenham 004,10,Mixed or Multiple ethnic groups: White and Black African,90
E02000005,Barking and Dagenham 004,11,Mixed or Multiple ethnic groups: White and Black Caribbean,215
